,artist,album,units_sold,month,year
56,Pop Vortex,Starlight,450.0,September,2023
57,Electronic Dreams,Digital Pulse,190.0,November,2021
58,Blues Archive,Midnight Sessions,270.0,August,2023
59,Country Harmony,Golden Trails,340.0,October,2022
60,Metal Thunder,Thunderstorm,290.0,December,2023
61,Hip Hop Syndicate,Street Beats,410.0,January,2021
62,Folk Echoes,Woodland Songs,260.0,April,2023
63,Synthwave Revival,Neon Nights,380.0,June,2022
64,Reggae Vibes,Island Rhythms,170.0,September,2023
65,Indie Collective,Creative Chaos,390.0,March,2021
66,Psychedelic Waves,Mind Expansion,240.0,July,2023
67,Rock Legends,Legacy of Rock,400.0,November,2022
68,Pop Sensation,Melody Mania,360.0,December,2023
69,Electronic Beats,Cyber Pulse,250.0,February,2021
70,Jazz Fusion,Modern Grooves,220.0,August,2023
71,Alternative Sounds,Echoes of Tomorrow,370.0,October,2022
72,Country Rockers,Dusty Trails,195.0,January,2023
73,Soulful Vibes,Harmony in Motion,430.0,May,2021
74,Electronic Dreams,Digital Odyssey,305.0,April,2023
75,Eli Johnson,Neon Dreams,300.0,June,2023
76,Maya Lee,Echoes of the Soul,450.0,April,2023
77,Jaden Cole,Urban Beats,280.0,March,2023
78,Zoey Hart,Midnight Vibes,520.0,July,2023
79,Leo Ruiz,Rock Chronicles,190.0,February,2023
80,Sophia Kim,Starlight Sessions,600.0,August,2023
81,Derek Moore,Electric Pulse,410.0,September,2023
82,Ava Tran,Soulful Journey,370.0,November,2023
83,Ethan Park,Digital Echoes,250.0,January,2023
84,Nina Reyes,Oceanic Rhythms,580.0,December,2023
85,Morgan Lee,City Lights,490.0,October,2023
86,Jacob White,Modern Grooves,330.0,May,2023
87,Lila Nguyen,Golden Hour,210.0,June,2022
88,Owen Carter,Dark Matter,540.0,July,2022
89,Zoey Chen,Futuristic Beats,390.0,August,2022
90,Taylor Mitchell,Sonic Waves,470.0,September,2022
91,Riley Adams,Nightfall Melodies,290.0,October,2022
92,Clara Bennett,Urban Symphony,510.0,November,2022
93,Noah Green,Retro Vibes,360.0,December,2022
94,Ava Kim,Crystal Sounds,430.0,January,2024
95,Eliana Smith,Horizon Tunes,270.0,February,2024
96,Jordan Lee,Quantum Beats,560.0,March,2024
97,Sophia Davis,Solar Flares,380.0,April,2024
98,Mason Taylor,Celestial Drift,400.0,May,2024
99,Isabella Wilson,Galactic Rhythms,260.0,June,2024
100,The Midnight Echoes,Neon Horizons,300.0,January,2023
101,Electric Dreams,Urban Pulse,450.0,February,2023
102,Sonic Rebellion,Digital Shadows,280.0,March,2023
103,Crystal Visions,Celestial Vibes,520.0,April,2023
104,The Rhythm Collective,Syncopated Souls,190.0,May,2023
105,Echoes of Tomorrow,Timeless Echoes,410.0,June,2023
106,Velvet Waves,Coastal Rhythms,370.0,July,2023
107,Neon Pulse,Electric Dreams,600.0,August,2023
108,The Midnight Echoes,Echoes of the Past,250.0,September,2023
109,Sonic Rebellion,Rebels in Rhythm,480.0,October,2023
110,Crystal Visions,Stellar Sounds,390.0,November,2023
111,The Rhythm Collective,Synced Souls,210.0,December,2023
112,Echoes of Tomorrow,Future Echoes,540.0,January,2024
113,Velvet Waves,Harmonic Tides,360.0,February,2024
114,Neon Pulse,Pulse of the City,620.0,March,2024
115,The Midnight Echoes,Midnight Reverie,290.0,April,2024
116,Electric Dreams,Dreamscape,430.0,May,2024
117,Sonic Rebellion,Rebellion Rhythms,510.0,June,2024
118,Crystal Visions,Cosmic Beats,380.0,July,2024
119,The Rhythm Collective,Rhythms of the World,270.0,August,2024
120,Echoes of Tomorrow,Tomorrow's Echo,500.0,September,2024
121,Velvet Waves,Waves of Velvet,350.0,October,2024
122,Neon Pulse,Pulsewave,610.0,November,2024
123,The Midnight Echoes,Echoes of the Night,320.0,December,2024
124,Electric Dreams,Dreamland,470.0,January,2025
125,The Midnight Echoes,Neon Lights,1200.0,January,2023
126,Electric Dreams,Echoes of the Past,980.0,February,2023
127,Synth Wave,Digital Vortex,1500.0,March,2023
128,Urban Beat,City Pulse,760.0,April,2023
129,Retro Vibes,Vintage Sounds,1100.0,May,2023
130,The Midnight Echoes,Shadow Lines,890.0,June,2023
131,Electric Dreams,Starlight,1350.0,July,2023
132,Synth Wave,Cyber Dreams,670.0,August,2023
133,Urban Beat,Rhythm City,1420.0,September,2023
134,Retro Vibes,Golden Era,950.0,October,2023
135,The Midnight Echoes,Midnight Roads,1020.0,November,2023
136,Electric Dreams,Galaxy Sounds,840.0,December,2023
137,Synth Wave,Neon Echoes,1650.0,January,2022
138,Urban Beat,City Beats,980.0,February,2022
139,Retro Vibes,Retro Waves,1150.0,March,2022
140,The Midnight Echoes,Echoes of Time,790.0,April,2022
141,Electric Dreams,Dreamscape,1400.0,May,2022
142,Synth Wave,Cyber Nights,680.0,June,2022
143,Urban Beat,Beat Street,1320.0,July,2022
144,Retro Vibes,Golden Beats,910.0,August,2022
145,The Midnight Echoes,Nightfall,1050.0,September,2022
146,Electric Dreams,Starlight Reborn,870.0,October,2022
147,Synth Wave,Digital Echoes,,November,2022
148,Urban Beat,City Rhythm,940.0,December,2022
149,Retro Vibes,Vintage Pulse,1210.0,January,2021
150,The Midnight Echoes,Neon Dreams,200.0,May,2023
151,Synthwave Collective,Cyber Waves,180.0,June,2023
152,Rhythm Rebels,Urban Beats,250.0,July,2023
153,Echoes of Tomorrow,Starlight Reverie,150.0,August,2023
154,Beat Visions,Digital Pulse,300.0,September,2023
155,The Midnight Echoes,Electric Pulse,170.0,October,2023
156,Synthwave Collective,Neon Reverie,220.0,November,2023
157,Rhythm Rebels,City Rhythms,280.0,December,2023
158,Echoes of Tomorrow,Galactic Echoes,190.0,January,2024
159,Beat Visions,Synthwave Dreams,310.0,February,2024
160,The Midnight Echoes,Midnight Vibes,240.0,March,2024
161,Synthwave Collective,Cyber Pulse,160.0,April,2024
162,Rhythm Rebels,Urban Echoes,270.0,May,2024
163,Echoes of Tomorrow,Solar Flare,180.0,June,2024
164,Beat Visions,Digital Dreams,330.0,July,2024
165,The Midnight Echoes,Echoes of the Past,210.0,August,2024
166,Synthwave Collective,Neon Nights,290.0,September,2024
167,Rhythm Rebels,Beat Revolution,150.0,October,2024
168,Echoes of Tomorrow,Starlight Echoes,320.0,November,2024
169,Beat Visions,Synthwave Odyssey,190.0,December,2024
170,The Midnight Echoes,Midnight Resonance,260.0,January,2025
171,Synthwave Collective,Cyber Reverie,140.0,February,2025
172,Rhythm Rebels,Urban Pulse,300.0,March,2025
173,Echoes of Tomorrow,Galactic Beats,170.0,April,2025
174,Beat Visions,Digital Reverie,230.0,May,2025
175,OCD Collective,Neon Waves,300.0,January,2023
176,The OCD Band,Digital Pulse,450.0,February,2023
177,Echoes of the Mind,Echo Chamber,180.0,March,2023
178,Midnight Vibes,Urban Beats,250.0,April,2023
179,Synthwave Dreams,Cyber Dreams,400.0,May,2023
180,OCD Collective,Neon Waves,320.0,June,2023
181,The OCD Band,Digital Pulse,410.0,July,2023
182,Echoes of the Mind,Echo Chamber,210.0,August,2023
183,Midnight Vibes,Urban Beats,270.0,September,2023
184,Synthwave Dreams,Cyber Dreams,420.0,October,2023
185,OCD Collective,Neon Waves,350.0,November,2023
186,The OCD Band,Digital Pulse,430.0,December,2023
187,Echoes of the Mind,Echo Chamber,190.0,January,2024
188,Midnight Vibes,Urban Beats,260.0,February,2024
189,Synthwave Dreams,Cyber Dreams,380.0,March,2024
190,OCD Collective,Neon Waves,310.0,April,2024
191,The OCD Band,Digital Pulse,440.0,May,2024
192,Echoes of the Mind,Echo Chamber,220.0,June,2024
193,Midnight Vibes,Urban Beats,280.0,July,2024
194,Synthwave Dreams,Cyber Dreams,410.0,August,2024
195,OCD Collective,Neon Waves,330.0,September,2024
196,The OCD Band,Digital Pulse,460.0,October,2024
197,Echoes of the Mind,Echo Chamber,230.0,November,2024
198,Midnight Vibes,Urban Beats,290.0,December,2024
199,Synthwave Dreams,Cyber Dreams,400.0,January,2025
200,The Velvet Echoes,Echoes of the Past,300.0,May,2023
201,Synthwave Rebels,Neon Dreams,450.0,June,2023
202,Electric Pulse,Thunder Struck,250.0,July,2023
203,Retro Vibes,Golden Era,180.0,August,2023
204,Digital Nomads,Wired Up,500.0,September,2023
205,Midnight Circus,Shadow Play,220.0,October,2023
206,Pixel Parade,Binary Beats,380.0,November,2023
207,Urban Groove,City Pulse,410.0,December,2023
208,Crystal Waves,Luminous,290.0,January,2024
209,Ghost Riff,Specter Sound,150.0,February,2024
210,Crimson Strings,Redemption,370.0,March,2024
211,Skyline Echoes,Horizon Lines,210.0,April,2024
212,Quantum Beat,Parallel Realms,430.0,May,2024
213,Soulful Drift,Whispers of the Wind,190.0,June,2024
214,Fusion Flame,Fire and Ice,360.0,July,2024
215,Echo Valley,Mountain Resonance,270.0,August,2024
216,Neon Pulse,Electric Sky,490.0,September,2024
217,Urban Beat,Concrete Grooves,310.0,October,2024
218,Stellar Sounds,Cosmic Waves,230.0,November,2024
219,Retro Revival,Vintage Vibes,170.0,December,2024
220,Driftwood Band,Coastal Melodies,390.0,January,2025
221,Cyber Pulse,Digital Dreams,470.0,February,2025
222,Midnight Train,Railroad Echoes,280.0,March,2025
223,Aurora Lights,Northern Glow,340.0,April,2025
224,Crimson Tide,Oceanic Rhythms,260.0,May,2025
225,The Midnight Echoes,Sonic Dreams,245.0,January,2023
226,Luna Wave,Neon Lights,189.0,February,2023
227,Echo Valley,Electric Pulse,312.0,March,2023
228,Urban Beat,City Rhythms,405.0,April,2023
229,Solaris Strings,Celestial Tones,156.0,May,2023
230,The Midnight Echoes,Sonic Dreams,287.0,June,2023
231,Luna Wave,Neon Lights,,July,2023
232,Echo Valley,Electric Pulse,298.0,August,2023
233,Urban Beat,City Rhythms,174.0,September,2023
234,Solaris Strings,Celestial Tones,265.0,October,2023
235,The Midnight Echoes,Sonic Dreams,198.0,November,2023
236,Luna Wave,Neon Lights,310.0,December,2023
237,Echo Valley,Electric Pulse,420.0,January,2024
238,Urban Beat,City Rhythms,167.0,February,2024
239,Solaris Strings,Celestial Tones,289.0,March,2024
240,The Midnight Echoes,Sonic Dreams,354.0,April,2024
241,Luna Wave,Neon Lights,182.0,May,2024
242,Echo Valley,Electric Pulse,276.0,June,2024
243,Urban Beat,City Rhythms,391.0,July,2024
244,Solaris Strings,Celestial Tones,148.0,August,2024
245,The Midnight Echoes,Sonic Dreams,235.0,September,2024
246,Luna Wave,Neon Lights,367.0,October,2024
247,Echo Valley,Electric Pulse,195.0,November,2024
248,Urban Beat,City Rhythms,214.0,December,2024
249,Solaris Strings,Celestial Tones,382.0,January,2025
250,The Midnight Echoes,Echoes of the Past,150.0,May,2023
251,Synthwave Dreams,Neon Nights,300.0,June,2022
252,Starlight Rebellion,Galaxy of Fire,250.0,March,2023
253,Driftwood Dreams,Tides of Change,180.0,April,2022
254,Crimson Skies,Skyfall Chronicles,400.0,December,2023
255,Electric Pulse,Voltage Vortex,220.0,July,2021
256,Urban Groove,City Beats,350.0,September,2023
257,Velvet Vortex,Dark Matter,190.0,February,2022
258,Echoes of Silence,Whispers in the Static,275.0,November,2023
259,Quantum Harmony,Particles and Light,140.0,January,2021
260,Nebula Strings,Cosmic Resonance,310.0,August,2023
261,Polaris Rhythm,Northern Lights,245.0,October,2022
262,Frostbite Echoes,Winter Reverie,160.0,December,2021
263,Solar Flare,Heatwave Symphony,380.0,June,2023
264,Midnight Groove,Twilight Vibes,210.0,March,2021
265,Aurora Pulse,Lightning Sky,290.0,July,2022
266,Desert Drifters,Sandstorm Melodies,175.0,April,2023
267,Oceanic Waves,Tides of Eternity,260.0,September,2021
268,Electric Dreams,Neon Reverie,320.0,November,2023
269,Crystal Echoes,Frostbite Symphony,205.0,February,2022
270,Vortex Storms,Thunderous Pulse,185.0,October,2021
271,Galactic Beats,Space Odyssey,340.0,May,2022
272,Shadow Rhythm,Midnight Pulse,280.0,August,2023
273,Lunar Echoes,Moonlight Reverie,195.0,January,2023
274,Quantum Beats,Digital Dreams,230.0,April,2022
275,The Midnight Echoes,Echoes in the Dark,245.0,January,2023
276,Electric Dreams,Dreamscape,189.0,February,2023
277,Soulful Strings,Harmony,312.0,March,2023
278,Neon Lights,Glowing Nights,287.0,April,2023
279,Urban Beats,City Pulse,156.0,May,2023
280,Acoustic Haven,Soft Sounds,402.0,June,2023
281,Rock Revival,Reborn,358.0,July,2023
282,Indie Vibes,Vibe Nation,214.0,August,2023
283,Jazz Fusion,Melody Mosaic,298.0,September,2023
284,Pop Pulse,Beatwave,431.0,October,2023
285,Hip-Hop Harmony,Street Stories,176.0,November,2023
286,Electronic Echo,Digital Dreams,394.0,December,2023
287,Folk Reverie,Wanderlust,128.0,January,2023
288,Country Canvas,Heartland,267.0,February,2023
289,Experimental Sounds,Beyond Limits,412.0,March,2023
290,The Midnight Echoes,Midnight Tales,198.0,April,2023
291,Electric Dreams,Neon Horizons,345.0,May,2023
292,Soulful Strings,Strings of Life,279.0,June,2023
293,Neon Lights,Urban Glow,165.0,July,2023
294,Urban Beats,Street Beats,401.0,August,2023
295,Acoustic Haven,Haven Sounds,328.0,September,2023
296,Rock Revival,Revived,195.0,October,2023
297,Indie Vibes,Vibe Wave,426.0,November,2023
298,Jazz Fusion,Fusion Jazz,289.0,December,2023
299,Pop Pulse,Pulse Pop,164.0,January,2023
300,The Midnight Echoes,Neon Dreams,300.0,May,2023
301,Electric Pulse,Synthwave Reverie,450.0,June,2022
302,Velvet Horizon,Echoes of the City,280.0,March,2023
303,Solar Flare,Stellar Frequencies,520.0,April,2021
304,Urban Reverie,City Lights,370.0,July,2023
305,Quantum Beats,Parallel Realms,,September,2022
306,Crimson Tide,Deep Blue,290.0,November,2023
307,Galactic Drift,Cosmic Voyage,610.0,February,2021
308,Echo Valley,Whispers in the Wind,340.0,October,2023
309,Neon Pulse,Electric Skyline,500.0,December,2022
310,Midnight Train,Railroad Dreams,390.0,January,2023
311,Crystal Silence,Fragile Echoes,480.0,August,2021
312,Crimson Skyline,Red Horizons,360.0,June,2023
313,Digital Mirage,Virtual Realms,540.0,March,2022
314,Oceanic Drift,Tides of Time,270.0,September,2023
315,Urban Echoes,Concrete Dreams,430.0,April,2021
316,Spectral Visions,Phantom Notes,320.0,July,2023
317,Electric Reverie,Voltage Dreams,490.0,November,2022
318,Celestial Drift,Starlight Symphony,510.0,October,2021
319,Midnight Echoes,Shadowplay,380.0,December,2023
320,Quantum Echo,Fractal Dreams,460.0,January,2022
321,Crimson Pulse,Red Noise,350.0,February,2023
322,Neon Horizon,Electric Skies,470.0,August,2021
323,Urban Pulse,City Beats,295.0,May,2022
324,Echoes of Time,Temporal Reveries,310.0,September,2023
325,The Midnight Echoes,Electric Dreams,1200.0,January,2023
326,Soul Revival Band,Retro Vibes,950.0,February,2023
327,Urban Pulse,City Beats,1500.0,March,2023
328,Crystal Harmony,Celestial Tunes,800.0,April,2023
329,Neon Shadows,Dark Reverie,1700.0,May,2023
330,Echoes of Time,Historic Melodies,650.0,June,2023
331,Rhythm Sphere,Sound Waves,2100.0,July,2023
332,Midnight Strings,Nightfall Serenade,780.0,August,2023
333,Solar Flare,Stellar Sounds,1900.0,September,2023
334,Velvet Vowels,Soft Harmonies,1100.0,October,2023
335,Quantum Beats,Digital Echoes,2400.0,November,2023
336,Aurora Strings,Northern Lights,1600.0,December,2023
337,The Midnight Echoes,Electric Dreams,1350.0,January,2024
338,Soul Revival Band,Retro Vibes,1050.0,February,2024
339,Urban Pulse,City Beats,1800.0,March,2024
340,Crystal Harmony,Celestial Tunes,900.0,April,2024
341,Neon Shadows,Dark Reverie,1750.0,May,2024
342,Echoes of Time,Historic Melodies,700.0,June,2024
343,Rhythm Sphere,Sound Waves,2200.0,July,2024
344,Midnight Strings,Nightfall Serenade,850.0,August,2024
345,Solar Flare,Stellar Sounds,2000.0,September,2024
346,Velvet Vowels,Soft Harmonies,1250.0,October,2024
347,Quantum Beats,Digital Echoes,2600.0,November,2024
348,Aurora Strings,Northern Lights,1850.0,December,2024
349,The Midnight Echoes,Electric Dreams,1400.0,January,2025
350,The Midnight Echoes,Echoes of the Past,300.0,January,2023
351,Soulful Strings,Harmony in Blue,450.0,February,2023
352,Neon Waves,Synthetic Dreams,280.0,March,2023
353,Urban Beats,City Pulse,520.0,April,2023
354,Rock Rebellion,Electric Storm,610.0,May,2023
355,Melody Makers,Golden Tones,390.0,June,2023
356,Dark Vibes,Shadow Notes,470.0,July,2023
357,Jazz Fusion,Rhythm Revolution,260.0,August,2023
358,Pop Visions,Colorful Worlds,730.0,September,2023
359,Metal Echoes,Iron Symphony,190.0,October,2023
360,Folk Reverie,Woodland Melodies,580.0,November,2023
361,Electronic Pulse,Digital Waves,410.0,December,2023
362,The Midnight Echoes,Echoes of the Future,350.0,January,2024
363,Soulful Strings,Harmony in Red,420.0,February,2024
364,Neon Waves,Synthetic Nights,290.0,March,2024
365,Urban Beats,City Lights,510.0,April,2024
366,Rock Rebellion,Electric Thunder,630.0,May,2024
367,Melody Makers,Golden Echoes,400.0,June,2024
368,Dark Vibes,Shadow Requiem,480.0,July,2024
369,Jazz Fusion,Rhythm Revival,270.0,August,2024
370,Pop Visions,Colorful Dreams,720.0,September,2024
371,Metal Echoes,Iron Shadows,180.0,October,2024
372,Folk Reverie,Woodland Songs,570.0,November,2024
373,Electronic Pulse,Digital Echoes,430.0,December,2024
374,The Midnight Echoes,Echoes of Tomorrow,370.0,January,2025
375,The Midnight Echoes,City Lights,245.0,January,2023
376,Sunny Days,Electric Dreams,189.0,February,2023
377,Nocturnal Vows,Shadow Play,312.0,March,2023
378,Echo Valley,Riverside Serenade,405.0,April,2023
379,Dawn Breakers,Horizon Lines,287.0,May,2023
380,Crimson Tide,Underwater Kingdom,156.0,June,2023
381,Velvet Skies,Celestial Notes,,July,2023
382,Midnight Rain,Stormy Nights,214.0,August,2023
383,Golden Hour,Sunset Memories,450.0,September,2023
384,Silver Lining,Hopeful Skies,198.0,October,2023
385,Blackout,Dark Matter,276.0,November,2023
386,Starlight,Galaxy Quest,345.0,December,2023
387,The Neon Pulse,Laser Lights,178.0,January,2024
388,Echoes of the Past,Vintage Vibes,293.0,February,2024
389,Urban Beats,City Rhythms,415.0,March,2024
390,Crystal Clear,Frozen Waters,367.0,April,2024
391,Midnight Train,Journey Through Time,254.0,May,2024
392,Solar Flare,Cosmic Waves,189.0,June,2024
393,Dusty Strings,Old World Charm,321.0,July,2024
394,Crimson Waves,Oceanic Dreams,248.0,August,2024
395,Golden Dawn,Morning Glory,391.0,September,2024
396,Silver Moon,Nightfall Symphony,286.0,October,2024
397,Electric Sky,Sky High,195.0,November,2024
398,Mystic Veil,Enchanted Forests,374.0,December,2024
399,Urban Echoes,Concrete Dreams,265.0,January,2025
400,The Echoes,Electric Reverie,340.0,January,2023
401,Neon Vowels,Midnight Vibes,285.0,February,2023
402,Synthwave Collective,Urban Pulse,410.0,March,2023
403,The Echoes,Solar Flares,190.0,April,2023
404,Neon Vowels,Dawn Chorus,375.0,May,2023
405,Synthwave Collective,Retro Waves,260.0,June,2023
406,Urban Groove,City Beats,450.0,July,2023
407,Digital Dreams,Cyber Hymns,180.0,August,2023
408,The Echoes,Galaxy Drift,320.0,September,2023
409,Neon Vowels,Quantum Echoes,295.0,October,2023
410,Synthwave Collective,Neon Dreams,400.0,November,2023
411,Urban Groove,Streetlight Rhythms,175.0,December,2023
412,Digital Dreams,Binary Echoes,310.0,January,2024
413,The Echoes,Aurora Sky,250.0,February,2024
414,Neon Vowels,Twilight Tides,390.0,March,2024
415,Synthwave Collective,Cyber Funk,270.0,April,2024
416,Urban Groove,Beat Republic,430.0,May,2024
417,Digital Dreams,Pixel Reverie,160.0,June,2024
418,The Echoes,Cosmic Drift,350.0,July,2024
419,Neon Vowels,Nova Chants,280.0,August,2024
420,Synthwave Collective,Glitch Symphony,330.0,September,2024
421,Urban Groove,Retro Beats,195.0,October,2024
422,Digital Dreams,Data Streams,220.0,November,2024
423,The Echoes,Stellar Pulse,305.0,December,2024
424,Neon Vowels,Quantum Drift,185.0,January,2025
425,The Midnight Echoes,Electric Dreams,245.0,January,2023
426,Synthwave Rebellion,Neon Nights,189.0,February,2023
427,Urban Pulse,City Beats,312.0,March,2023
428,Echo Valley,Mountain Echoes,98.0,April,2023
429,Digital Dreams,Cyberwave,405.0,May,2023
430,The Midnight Echoes,Midnight Vibes,176.0,June,2023
431,Synthwave Rebellion,Echoes of the Future,287.0,July,2023
432,Urban Pulse,Streetlight Rhythms,154.0,August,2023
433,Echo Valley,Forest Whispers,301.0,September,2023
434,Digital Dreams,Pixelated Realms,220.0,October,2023
435,The Midnight Echoes,Dusk and Dawn,198.0,November,2023
436,Synthwave Rebellion,Synthetic Skies,254.0,December,2023
437,Urban Pulse,Retro Future,147.0,January,2024
438,Echo Valley,Valley Reverb,295.0,February,2024
439,Digital Dreams,Quantum Beats,367.0,March,2024
440,The Midnight Echoes,Twilight Memories,182.0,April,2024
441,Synthwave Rebellion,Neon Reverie,239.0,May,2024
442,Urban Pulse,Beat the Clock,165.0,June,2024
443,Echo Valley,Rocky Heights,278.0,July,2024
444,Digital Dreams,Binary Melodies,310.0,August,2024
445,The Midnight Echoes,Stellar Sounds,215.0,September,2024
446,Synthwave Rebellion,Galactic Waves,263.0,October,2024
447,Urban Pulse,City Lights,194.0,November,2024
448,Echo Valley,Forest Harmony,247.0,December,2024
449,Digital Dreams,Cyber Pulse,309.0,January,2025
450,The Midnight Echoes,Neon Dreams,300.0,January,2023
451,Electric Pulse,Echoes of the Future,450.0,February,2023
452,Synthwave Revival,Urban Beats,280.0,March,2023
453,Velvet Groove,Midnight Visions,520.0,April,2023
454,Quantum Echoes,Digital Dreams,610.0,May,2023
455,Stellar Pulse,Cosmic Waves,740.0,June,2023
456,Echoes of the Past,Vintage Vibes,120.0,July,2023
457,Neon Horizon,Electric Sky,890.0,August,2023
458,Dawnwave Collective,Sunrise Rhythms,470.0,September,2023
459,Shadow Groove,Midnight Reverie,650.0,October,2023
460,Crimson Pulse,Red Echoes,980.0,November,2023
461,Luna Strings,Celestial Beats,110.0,December,2023
462,Retro Vibe,Vintage Vibes 2.0,560.0,January,2024
463,Cyber Echoes,Digital Reverie,730.0,February,2024
464,Electric Bloom,Neon Flowers,810.0,March,2024
465,Starlight Fusion,Galaxy Rhythms,390.0,April,2024
466,Echoes of Tomorrow,Future Sounds,1020.0,May,2024
467,Midnight Pulse,Urban Echoes,670.0,June,2024
468,Velvet Synth,Soft Waves,430.0,July,2024
469,Quantum Beats,Digital Dreamscape,950.0,August,2024
470,Nova Groove,Stellar Rhythms,780.0,September,2024
471,Echoes of the Deep,Underwater Vibes,130.0,October,2024
472,Crimson Strings,Red Rhythms,690.0,November,2024
473,Luna Pulse,Celestial Echoes,580.0,December,2024
474,Dawnwave Reborn,Sunrise Revival,810.0,January,2025
475,The Midnight Echoes,Echoes of Tomorrow,350.0,January,2023
476,Electric Dreams,Neon Nights,420.0,February,2023
477,Urban Pulse,City Beats,670.0,March,2024
478,Starlight Rebellion,Galaxy Rising,890.0,April,2023
479,Vortex Sounds,Turbine,510.0,May,2023
480,Synthwave Collective,Digital Dreams,760.0,June,2023
481,Aurora Frost,Northern Lights,480.0,July,2023
482,Rhythm Revolution,Beatwave,920.0,August,2023
483,Midnight Jazz,Nocturne,650.0,September,2023
484,Electric Tide,Waveform,710.0,October,2023
485,Crimson Strings,Red Symphony,590.0,November,2023
486,Dusty Grooves,Vinyl Vibes,430.0,December,2023
487,Soulful Echoes,Harmony Lane,560.0,January,2024
488,Quantum Beats,Particle Motion,810.0,February,2024
489,Crystal Vibes,Luminous,630.0,March,2024
490,Dark Matter,Cosmic Drift,780.0,April,2024
491,Velvet Reverie,Soft Skies,600.0,May,2024
492,Circuit Breakers,Electro Pulse,950.0,June,2024
493,Velvet Underground,Rebel Rhythm,740.0,July,2024
494,Echo Valley,Mountain Echoes,580.0,August,2024
495,Neon Pulse,Lightning Strikes,690.0,September,2024
496,Solar Flares,Stellar Winds,830.0,October,2024
497,Frostbite,Arctic Rhythm,570.0,November,2024
498,Driftwood Sounds,Tidal Drift,620.0,December,2024
499,OCD Records Collective,Label Anthology,1200.0,March,2023
500,The Midnight Echoes,Neon Reverie,280.0,January,2023
501,Synthwave Dreams,Electric Pulse,150.0,February,2023
502,Urban Beats,City Lights,420.0,March,2023
503,Digital Pulse,Quantum Vibes,310.0,April,2023
504,Retro Vibes,Vintage Echoes,190.0,May,2023
505,Neon Strings,Laser Lights,260.0,June,2023
506,Midnight Rhythm,Shadow Tunes,340.0,July,2023
